Step ID (For Dependency List),Center/Home,Phase,Step,Provider Type,Department,Description,Dependency,Cost,Time to Complete,Processing Time,Renewal,Link to Forms,Level (NYC Home-based specific)
CP9,Center,Facility Inspection,Lead Paint Testing,,DOHMH,Submit an application for lead paint testing to your Local Borough Office of DOHMH. ,,0,30 minutes,.5 - 2 weeks,1 year,https://www.nyc.gov/assets/doh/downloads/pdf/lead/gdc-annual-survey-form.pdf,city
CP10 ,Center,Facility Inspection,Lead Soil Testing,,Private ,Obtain a private provider to verify that the soil outside/around your facility is not contaminated,,10 - 500,30 minutes,.5 - 2 weeks,none,,city
CP11,Center,Facility Inspection,Site Viability Checklist,,"DOHMH, FDNY, DOB",Ensure building passes all site requirements and make changes if necessary. ,"CP6, CP7, CP8, CP9, CP10",0,30 minutes,Immediate,none,https://www.nyc.gov/assets/doh/downloads/pdf/dc/dc-applicant-site-viability-checklist.pdf,city
CP12,Center,Facility Inspection,Site Viability Inspection Application,,DOHMH,Fill out application for site viability inspection by a city employee. ,"CP3, CP11",0,5 minutes,Immediate,none,http://www1.nyc.gov/assets/doh/downloads/pdf/dc/GDC-Site-Inspection-Request.pdf,city
CP13,Center,Staff Preparation,Staff Immunizations and Medical Records,,DOHMH,Ensure all staff members have necessary immunizations and have provided medical records from the last 2 years. ,,0,30 minutes,1 week,2 years,https://www.nyc.gov/site/doh/business/permits-and-licenses/child-care-school-based-health-code.page,city
CP14,Center,Staff Preparation,Staff Fingerprinting,,DOHMH,Obtain fingerprints for all staff members at DOHMH's IdenToGo fingerprint locations.,,110 per employee,30 minutes,Immediate,5 years,https://www.nyc.gov/site/doi/offices/fingerprint-unit.page,city
CP15,Center,Staff Preparation,Staff Background Checks,,DOI,Ensure all staff members obtain the necessary clearance of criminal history and the Statewide Central Register of Child Abuse and Maltreatment.,,0,30 minutes,1 week,2 years ,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=16,city
CT1,Center,Staff Preparation,Ensure all staff have proper trainings ,,DOHMH,Ensure that all groups of children are properly monitored by sufficiently-trained staff. ,,0,1 - 20 hours,Immediate,depends,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=15,city
CP16,Center,Compliance,Verify General Compliance,,DOHMH,Verify that all extraneous requirements in policy and facility guidelines are being followed. ,"CP12, CP13, CP14, CP15, CT1",0,1 hour,Immediate,none,http://www1.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf,
CP17,Center,Compliance,Obtain Food Protection Certificate,,DOHMH,Obtain Food Protection Certificate for at least one supervising manager.,,114,1 hour,Immediate,,,
CA1,Center,Application,Complete Group Child Care Application,,DOHMH,"Complete online application using all previous documents, certificates, etc. ","CP16, CP17",200,1 hour,Immediate,2 years,https://nyc-business.nyc.gov/nycbusiness/description/group-child-care-center-permit,
CR1,Center,Post-Application,Create Aspire Account,,DOHMH,Create an account on the Aspire Registry to be accessible alongside all other Group Child Care facilities. ,CA1,0,0,Immediate,,https://www.nyc.gov/assets/doh/downloads/pdf/dc/group-child-care-center-compliance-guide.pdf#page=16,city
HP3,Home,Process Initiation,Complete the Child Day Care Orientation,"GFCC, FCC",OCFS,Log-in to New York State Office of Child and Family Services portal to complete.,"HP1, HP2",0,1.5,,,https://ocfs.ny.gov/programs/childcare/providers/cdc-orientation.php,state
HA1,Home,Application,Request application,"GFCC, FCC",OCFS,"After completing orientation, request an application in New York State Office of Child and Family Services portal. .",HP3,,,,,https://www.pdp.albany.edu/ccfs/,state
HA2,Home,Application,Submit application,"GFCC, FCC",OCFS,"Once your application has been submitted and reviewed, a representative from OCFS will complete an inspection.  If your daycare business is approved, then a license or registration will be mailed to you",HA1,,,,,https://www.pdp.albany.edu/ccfs/,state
HA3,Home,Application,Contact a Regional Office or Child Care Resource and Referral (CCRR) agency,"GFCC, FCC",OCFS,OCFS Regional Offices can provide application materials and information about the process of starting a program. Child Care Resource and Referral Agencies (CCRR) also provide start-up information and information on funding eligibility.,HP3,,,,,,state
HT1,Home,Staff Preparation,Attend pre-licensing Health and Safety Training,"GFCC, FCC",OCFS,"To ensure that new providers are prepared for this responsibility, they must complete health and safety training approved by the Office of Children and Family Services (OCFS). ",HA1,,15,,,"https://www.ecetp.pdp.albany.edu/about_health_safety.aspx
Find Training",state
HA4,Home,Staff Preparation,Complete and submit blackground check and fingerprinting,"GFCC, FCC",DOI,"To initiate the comprehensive background check process, individuals must follow the instructions on the OCFS-4930 form to schedule a fingerprinting appointment and also submit a completed OCFS-6000 packet to their program’s provider/director. For staff who have already been fingerprinted for day care under the CCDBG requirements and have not had a break in service for more than 180 days, you will complete the Request for a Waiver to initiate the process.",HA1,100,,30-45 days,,"CCDBG Background Checks | Division of Child Care Services
OCFS-4930
OCFS-6000
Waiver if previously fingerprinted",state and federal
HT2,Home,Staff Preparation,Complete training,"GFCC, FCC",OCFS,Complete 30 hours of training in ten topic areas every two years. You must finish 15 of these hours within the first six months of employment.,HA1,,30 hours,,yes,,state
HT3,Home,Staff Preparation,Complete Foundations in Health and Safety e-learning,"GFCC, FCC",OCFS,"5-hour e-learning course “Foundations in Health and Safety.” Required pre-service or within three (3) months of start date.
 or
15-hour classroom training “Health and Safety: Competencies for Becoming a Family or Group Family Day Care Provider.“ Required pre-service or within three (3) months of start date.",HA1,,5-15 hours,,,,state
HT4,Home,Staff Preparation,Arrange CPR and First Aid certification,"GFCC, FCC",multiple,Each program must have at least one (1) person on site who is certified in CPR/First Aid during all hours of operation. ,HA1,40-125,3-5 hours,,yes,,state
HT5,Home,Staff Preparation,Complete Medication Administration Training (MAT),"GFCC, FCC",,Optional except for programs that choose to administer medications or as otherwise required.,HA1,80-300,8 hours,,yes,https://www.ecetp.pdp.albany.edu/mat.aspx,state
HR1,Home,Post-Application,Receive registration,"GFCC, FCC",OCFS,"The initial registration period for a Family Day Care program is two years.
After that, the renewal registration is effective for four years.
Providers must follow the Office of Children and Family Services (OCFS) regulations and all laws that apply.",,,,8-16 weeks,,,state
